Job Title,Company,Location,Experience Level,Date,Skills,Job Type,Application Link
Agricultural Engineer,Almotaheda -,"Abu Almatamir, Beheira, Egypt",· 1 - 5 Yrs of Exp,Not listed,"English Education, Computer Skills",Full Time,https://wuzzuf.net/jobs/p/elmxggwrxjrf-agricultural-engineer-almotaheda-beheira-egypt
Agricultural Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt",· 2 - 5 Yrs of Exp,Not listed,"Irrigation system design, Project management, Soil analysis, Agricultural engineering, Pest and disease control, Plant health management, Sustainable landscaping",Full Time,https://wuzzuf.net/jobs/p/vkfg80bi2k4d-agricultural-engineer-talaat-moustafa-group-cairo-egypt
"Technical Sales Engineer, Electrical Mechanical Agriculture - Alexandria",Sagueny Group -,"Alibrahimiyyah, Alexandria, Egypt",· 2+ Yrs of Exp,Not listed,"Inside Sales, Upselling, Indoor Sales, Outdoor Sales, Sales Skills, Mechanical Engineering, Mechantronics, Electrical Engineering, Management, English, Engineering",Full Time,https://wuzzuf.net/jobs/p/5e8aw0ugkien-technical-sales-engineer-electrical-mechanical-agriculture-alexandria-sagueny-group-alexandria-egypt
Agricultural Quality Engineer,Bennu -,"Cairo, Egypt",· 0 - 5 Yrs of Exp,Not listed,"Agricultural Engineering, Engineering, Operations, Production, Quality Assurance, Quality Control, Safety, FMCG, Microsoft Office, quality, ISO, BRC, Logistics",Full Time,https://wuzzuf.net/jobs/p/jbdkjnkflxk2-agricultural-quality-engineer-bennu-cairo-egypt
Production Manager ( frozen vegetable),vegi farm -,"Alsalihiyyah Aljadidah, Sharqia, Egypt",· 8 - 12 Yrs of Exp,Not listed,"Agriculture, Food Production, Manufacturing, Production, Production Management, Operations, Engineering, Food",Full Time,https://wuzzuf.net/jobs/p/ivrg8lmuvliq-production-manager-frozen-vegetable-vegi-farm-sharqia-egypt
Production Supervisor,Shoura Chemicals -,"6th of October, Giza, Egypt",· 0 - 1 Yrs of Exp,Not listed,"Manufacturing, Engineering, Production, Science, Agriculture, Quality Control",Full Time,https://wuzzuf.net/jobs/p/pmsum4qxcakf-production-supervisor-shoura-chemicals-giza-egypt
Production Engineer (Background Foods),Marbella For Food Industry -,"6th of October, Giza, Egypt",· 3 - 5 Yrs of Exp,Not listed,"Agriculture, Engineering, Food Production, LEAN, Lean manufacturing, Manufacturing, Mechanical, Food, Mechanical Engineering, Production, Science, Six Sigma, Production Engineering, Food Manufacturing, ",Full Time,https://wuzzuf.net/jobs/p/bjeknlumctou-production-engineer-background-foods-marbella-for-food-industry-giza-egypt
HSE / Safety Manager,Marbella For Food Industry -,"6th of October, Giza, Egypt",· 5 - 7 Yrs of Exp,Not listed,"Engineering, HSE, Safety, safety manager, Manufacturing, FMCG, Agriculture, ISO, NEBOSH, OSHA, quality, Science",Full Time,https://wuzzuf.net/jobs/p/tx908xpao4rf-hse-safety-manager-marbella-for-food-industry-giza-egypt
Agricultural Engineer,Confidential -,"Assuit, Assiut, Egypt",· 7 - 10 Yrs of Exp,Not listed,"Agriculture, Irrigation, fertilization",Full Time,https://wuzzuf.net/jobs/p/0yyr1drvdef9-agricultural-engineer-assiut-egypt
Milk Sourcing Buyer,Beyti - an Almarai Subsidiary -,"New Cairo, Cairo, Egypt",· 2 - 3 Yrs of Exp,Not listed,"Agricultural engineering, milk, procurement, animal production, farm, Contract Farming, development farm",Full Time,https://wuzzuf.net/jobs/p/dat7jqrrba4i-milk-sourcing-buyer-beyti-an-almarai-subsidiary-cairo-egypt
Quality Control Specialist,Egyptian Starch and Glucose Manufacturing Company -,"Musturad, Qalubia, Egypt",· 2 - 3 Yrs of Exp,Not listed,"Quality, Quality Control, Science, Agriculture, Computer, Statistical, Food & Beverage, Laboratory, Communication skills, Control, Engineering, Industry, Communication",Full Time,https://wuzzuf.net/jobs/p/hhnpcplbqglv-quality-control-specialist-egyptian-starch-and-glucose-manufacturing-company-qalubia-egypt
Production Engineer,الشركة المتحدة للاغذية -,"New Cairo, Cairo, Egypt",Not listed,Not listed,"engineer, Production, Production engineer, Agricultural Engineering, Agricultural, Dairy, Engineering, Environment, food safety, Manufacturing, Safety",Full Time,https://wuzzuf.net/jobs/p/h76u4dryhhu3-production-engineer-alshrk-almthd-llaghthy-cairo-egypt
Irrigation Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt",· 2 - 5 Yrs of Exp,Not listed,"Irrigation System Design, AutoCAD, Water Resource Management, Sustainable Engineering, Project Management",Full Time,https://wuzzuf.net/jobs/p/hmivbjljhzvw-irrigation-engineer-talaat-moustafa-group-cairo-egypt
Landscape technical office Engineer,Confidential -,"Maadi, Cairo, Egypt",· 3 - 6 Yrs of Exp,Not listed,"Landscape Design, AutoCAD, Technical Drawing, Project Coordination, Construction Documentation, Site Inspection, Problem Solving, Communication, Time Management, Material Procurement",Full Time,https://wuzzuf.net/jobs/p/5nlwn6qfges1-landscape-technical-office-engineer-cairo-egypt
Quality Control Engineer,orion food -,"6th of October, Giza, Egypt",· males_only,Not listed,"Quality Control, Food Safety, Analytical Thinking, Problem Solving, Quality Assurance",Internship,https://wuzzuf.net/internship/5p3rfgo7rauo-quality-control-engineer-orion-food-giza-egypt
Farm Manager,Misr Elhegaz Group -,"Sharqia, Egypt",· 8 - 20 Yrs of Exp,Not listed,"Agricultural, Agriculture, Agriculture Engineering, Engineering, farm, farm management, Farming, Management",Full Time,https://wuzzuf.net/jobs/p/39e1uhvp1mvk-farm-manager-misr-elhegaz-group-sharqia-egypt
Printing Engineer,Zpac Co -,"Qalyub, Qalubia, Egypt",· 1+ Yrs of Exp,Not listed,"Printing, Mechanical Engineering, Plastic Extrusion",Full Time,https://wuzzuf.net/jobs/p/rzsvdva2umlu-printing-engineer-zpac-co-qalubia-egypt
Procurement Engineer,Royal Herbs -,"Haram, Giza, Egypt",· 1 - 3 Yrs of Exp,Not listed,"Procurement Management, Negotiation, Supplier Evaluation, Supply Chain Coordination, Data Analysis, ERP Systems, Contract Management, Communication, Inventory Management",Full Time,https://wuzzuf.net/jobs/p/urlmue75xye7-procurement-engineer-royal-herbs-giza-egypt
Landscape Maintenance Manager,Lilly Landscape -,"Cairo, Egypt",· 7 - 15 Yrs of Exp,Not listed,"Communication, Agriculture, Communication skills, Engineering, Landscape, Maintenance, Irrigation, Microsoft Office, Management",Full Time,https://wuzzuf.net/jobs/p/cnbe6cjtqybp-landscape-maintenance-manager-lilly-landscape-cairo-egypt
Quality Control Engineer,Exception Patisserie -,"6th of October, Giza, Egypt",· 1 - 15 Yrs of Exp,Not listed,"Agriculture, Quality Assurance, quality, Science",Full Time,https://wuzzuf.net/jobs/p/fknvfhiirsbc-quality-control-engineer-exception-patisserie-giza-egypt
Quality Control Engineer,Cookievore -,"Sheikh Zayed, Giza, Egypt",· 2 - 3 Yrs of Exp,Not listed,"food safety, Engineering, Quality Control, GMP",Full Time,https://wuzzuf.net/jobs/p/u3w5md9h6k6d-quality-control-engineer-cookievore-giza-egypt
Quality Control Engineer,Economic Group -,"Qaha, Qalubia, Egypt",· 1 - 5 Yrs of Exp,Not listed,"Engineering, Industrial, quality, Quality Control, Quality Management",Full Time,https://wuzzuf.net/jobs/p/8qa0xv35fy9c-quality-control-engineer-economic-group-qalubia-egypt
Farm Manager – Alfalfa Production,Millennium Farms -,"Amman, Jordan",· 7+ Yrs of Exp,Not listed,"Agriculture, Agriculture Engineering, Agricultural Engineering, Crop Production, Engineering, Production, Management, Farming, Alfalfa, English, Microsoft Office",Full Time,https://wuzzuf.net/jobs/p/exwnefgg3dii-farm-manager-alfalfa-production-millennium-farms-amman-jordan
Farm Manager – Orchard Fields,Millennium Farms -,"Amman, Jordan",· 7 - 10 Yrs of Exp,Not listed,"Agriculture, Farming, Agricultural Engineering, Horticulture, Field Production, Orchard",Full Time,https://wuzzuf.net/jobs/p/nuodgxyq51in-farm-manager-orchard-fields-millennium-farms-amman-jordan
QA Engineer,Xeed Corp -,"Alsadat City, Monufya, Egypt",· 1 - 2 Yrs of Exp,Not listed,"Communication skills, QA, Agriculture, Quality Assurance, English",Full Time,https://wuzzuf.net/jobs/p/5znez0lgoovf-qa-engineer-xeed-corp-monufya-egypt
Packaging House Manager,Millennium Farms -,"Amman, Jordan",· 7+ Yrs of Exp,Not listed,"Packing, Production, Packaging, Operations, English, Agriculture, Agricultural Machinery, Agricultural Engineering, Agriculture Engineering, Communication, Engineering, Microsoft Office, quality, Sales, sales skills, ",Full Time,https://wuzzuf.net/jobs/p/riizcngytjp4-packaging-house-manager-millennium-farms-amman-jordan
Preparation Leader Engineer,Arab Otsuka Nutraceuticals -,"10th of Ramadan City, Cairo, Egypt",· 8 - 10 Yrs of Exp,Not listed,"Engineering, Food, Manufacturing, Chemical Engineering, Food & Beverage, Glass",Full Time,https://wuzzuf.net/jobs/p/krudnlbspmzt-preparation-leader-engineer-arab-otsuka-nutraceuticals-cairo-egypt
IoT and Applied AI Teacher,NASS Academy -,"Cairo, Egypt",· 1 - 3 Yrs of Exp,Not listed,"Instructor, Software Engineering, Electronic Engineering",Full Time,https://wuzzuf.net/jobs/p/xidcbztfrim1-iot-and-applied-ai-teacher-nass-academy-cairo-egypt
Quality Interns,Exception Patisserie -,"6th of October, Giza, Egypt",· 0 - 1 Yrs of Exp,Not listed,"Industrial Engineering, Agriculture, Communication skills, Food, Engineering, Industrial, Manufacturing, Production, quality, Quality Assurance, Quality Control, Science",Internship,https://wuzzuf.net/internship/gbhut9oxqzs4-quality-interns-exception-patisserie-giza-egypt
Facility Management Manager,Confidential -,"6th of October, Giza, Egypt",· 10+ Yrs of Exp,Not listed,"Facility management, Landscape Management, Landscape Engineering, Team leadership, Budgeting and cost control, Maintenance planning, Health and safety compliance, Project management, Problem-solving, , , , ",Full Time,https://wuzzuf.net/jobs/p/7cm8vhzrc7i9-facility-management-manager-giza-egypt
AI Engineer,AgChat -,"Cairo, Egypt",· 1+ Yrs of Exp,Not listed,"computer science, AI",Full Time,https://wuzzuf.net/jobs/p/wpkwlfmtskc6-ai-engineer-agchat-cairo-egypt
Quality Control Engineer,Fresh Freeze -,"10th of Ramadan City, Sharqia, Egypt",· 3 - 5 Yrs of Exp,Not listed,"ISO, QA, QC, quality, Quality Management, Analysis, Engineering, Production, Quality Assurance, Quality Control, Management, Safety",Full Time,https://wuzzuf.net/jobs/p/itybeolbuazx-quality-control-engineer-fresh-freeze-sharqia-egypt
Fabrication Manager,Energy Job Search -,"Dubai, United Arab Emirates",Not listed,Not listed,"Management, Engineering, Fabrics, Operations, Production, Fabrication, Manufacturing, Microsoft Office, Applied Arts, English, Fashion, Home Economics, Adobe Photoshop, Agriculture, Aluminium, , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/olnuqiouqkzd-fabrication-manager-energy-job-search-dubai-united-arab-emirates
